year_range,country_index,country_t-2,population_t-2,gdp_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,cumulative_co2_including_luc_t-2,co2_including_luc_t-2,country_t-1,population_t-1,gdp_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,cumulative_co2_including_luc_t-1,co2_including_luc_t-1,co2_including_luc_t+1
1930-1930,Argentina,Argentina,11139114.0,77168877568.0,0.116,8.284,0.0,0.297,228.958,4.041,5108.347,241.697,Argentina,11443159.0,80691912704.0,0.174,8.321,0.0,0.458,229.748,4.177,5351.226,242.878,194.678
1931-1931,Argentina,Argentina,11443159.0,80691912704.0,0.174,8.321,0.0,0.458,229.748,4.177,5351.226,242.878,Argentina,11726853.0,77359685632.0,0.189,8.119,0.0,0.454,181.91,4.005,5545.904,194.678,163.215
1932-1932,Argentina,Argentina,11726853.0,77359685632.0,0.189,8.119,0.0,0.454,181.91,4.005,5545.904,194.678,Argentina,11989069.0,71992139776.0,0.265,6.947,0.0,0.564,150.371,5.067,5709.119,163.215,145.94
1933-1933,Argentina,Argentina,11989069.0,71992139776.0,0.265,6.947,0.0,0.564,150.371,5.067,5709.119,163.215,Argentina,12228636.0,69624832000.0,0.247,6.331,0.0,0.769,132.84,5.752,5855.059,145.94,134.144
1934-1934,Argentina,Argentina,12228636.0,69624832000.0,0.247,6.331,0.0,0.769,132.84,5.752,5855.059,145.94,Argentina,12444339.0,72859959296.0,0.254,5.959,0.0,1.034,120.912,5.985,5989.203,134.144,126.606
1935-1935,Argentina,Argentina,12444339.0,72859959296.0,0.254,5.959,0.0,1.034,120.912,5.985,5989.203,134.144,Argentina,12663847.0,78659584000.0,0.28,6.581,0.0,1.249,112.366,6.13,6115.809,126.606,119.507
1936-1936,Argentina,Argentina,12663847.0,78659584000.0,0.28,6.581,0.0,1.249,112.366,6.13,6115.809,126.606,Argentina,12887227.0,82125021184.0,0.356,6.337,0.0,1.056,105.51,6.249,6235.316,119.507,115.143
1937-1937,Argentina,Argentina,12887227.0,82125021184.0,0.356,6.337,0.0,1.056,105.51,6.249,6235.316,119.507,Argentina,13114548.0,82689359872.0,0.411,6.987,0.0,0.912,100.047,6.786,6350.458,115.143,112.26
1938-1938,Argentina,Argentina,13114548.0,82689359872.0,0.411,6.987,0.0,0.912,100.047,6.786,6350.458,115.143,Argentina,13345878.0,88696750080.0,0.512,8.158,0.0,0.865,95.549,7.176,6462.718,112.26,108.844
1939-1939,Argentina,Argentina,13345878.0,88696750080.0,0.512,8.158,0.0,0.865,95.549,7.176,6462.718,112.26,Argentina,13581288.0,89082486784.0,0.614,7.396,0.0,0.839,92.496,7.498,6571.562,108.844,106.511
1940-1940,Argentina,Argentina,13581288.0,89082486784.0,0.614,7.396,0.0,0.839,92.496,7.498,6571.562,108.844,Argentina,13825464.0,92462211072.0,0.556,7.764,0.0,0.887,89.133,8.171,6678.073,106.511,78.523
1941-1941,Argentina,Argentina,13825464.0,92462211072.0,0.556,7.764,0.0,0.887,89.133,8.171,6678.073,106.511,Argentina,14078649.0,93982973952.0,0.534,5.369,0.0,0.916,62.659,9.045,6756.596,78.523,60.432
1942-1942,Argentina,Argentina,14078649.0,93982973952.0,0.534,5.369,0.0,0.916,62.659,9.045,6756.596,78.523,Argentina,14341093.0,98812125184.0,0.578,2.686,0.0,1.015,46.491,9.662,6817.027,60.432,48.192
1943-1943,Argentina,Argentina,14341093.0,98812125184.0,0.578,2.686,0.0,1.015,46.491,9.662,6817.027,60.432,Argentina,14613051.0,99962904576.0,0.531,1.385,0.0,1.154,34.713,10.409,6865.22,48.192,39.505
1944-1944,Argentina,Argentina,14613051.0,99962904576.0,0.531,1.385,0.0,1.154,34.713,10.409,6865.22,48.192,Argentina,14894786.0,99170082816.0,0.472,1.549,0.0,1.158,25.428,10.898,6904.725,39.505,31.721
1945-1945,Argentina,Argentina,14894786.0,99170082816.0,0.472,1.549,0.0,1.158,25.428,10.898,6904.725,39.505,Argentina,15181952.0,110433869824.0,0.534,1.649,0.0,1.132,17.769,10.637,6936.446,31.721,24.943
1946-1946,Argentina,Argentina,15181952.0,110433869824.0,0.534,1.649,0.0,1.132,17.769,10.637,6936.446,31.721,Argentina,15474655.0,106852769792.0,0.538,2.045,0.0,1.041,11.277,10.043,6961.389,24.943,19.336
1947-1947,Argentina,Argentina,15474655.0,106852769792.0,0.538,2.045,0.0,1.041,11.277,10.043,6961.389,24.943,Argentina,15773001.0,116403142656.0,0.563,3.041,0.0,0.967,5.634,9.131,6980.726,19.336,15.218
1948-1948,Argentina,Argentina,15773001.0,116403142656.0,0.563,3.041,0.0,0.967,5.634,9.131,6980.726,19.336,Argentina,16077098.0,129321500672.0,0.673,3.254,0.0,0.997,0.703,9.591,6995.944,15.218,13.717
1949-1949,Argentina,Argentina,16077098.0,129321500672.0,0.673,3.254,0.0,0.997,0.703,9.591,6995.944,15.218,Argentina,16387059.0,136522203136.0,0.618,5.815,0.0,0.766,-3.675,10.193,7009.661,13.717,7.51
1950-1950,Argentina,Argentina,16387059.0,136522203136.0,0.618,5.815,0.0,0.766,-3.675,10.193,7009.661,13.717,Argentina,16700599.0,134649167872.0,0.716,3.598,0.0,1.136,-7.855,9.915,7017.171,7.51,42.13
1951-1951,Argentina,Argentina,16700599.0,134649167872.0,0.716,3.598,0.0,1.136,-7.855,9.915,7017.171,7.51,Argentina,17017748.0,136328019968.0,0.778,3.561,0.0,0.0,12.209,25.582,7059.301,42.13,57.512
1952-1952,Argentina,Argentina,17017748.0,136328019968.0,0.778,3.561,0.0,0.0,12.209,25.582,7059.301,42.13,Argentina,17354614.0,141645234176.0,0.77,5.47,0.0,1.418,22.549,27.304,7116.813,57.512,66.19
1953-1953,Argentina,Argentina,17354614.0,141645234176.0,0.77,5.47,0.0,1.418,22.549,27.304,7116.813,57.512,Argentina,17693856.0,134416834560.0,0.767,4.507,0.0,1.535,30.094,29.286,7183.002,66.19,70.501
1954-1954,Argentina,Argentina,17693856.0,134416834560.0,0.767,4.507,0.0,1.535,30.094,29.286,7183.002,66.19,Argentina,18032748.0,141635207168.0,0.818,3.114,0.0,1.194,35.366,30.008,7253.503,70.501,75.928
1955-1955,Argentina,Argentina,18032748.0,141635207168.0,0.818,3.114,0.0,1.194,35.366,30.008,7253.503,70.501,Argentina,18369248.0,147492470784.0,0.843,3.722,0.0,1.209,39.178,30.976,7329.432,75.928,81.921
1956-1956,Argentina,Argentina,18369248.0,147492470784.0,0.843,3.722,0.0,1.209,39.178,30.976,7329.432,75.928,Argentina,18700684.0,158009442304.0,0.923,3.21,0.0,1.227,42.361,34.2,7411.352,81.921,89.442
1957-1957,Argentina,Argentina,18700684.0,158009442304.0,0.923,3.21,0.0,1.227,42.361,34.2,7411.352,81.921,Argentina,19031200.0,162343223296.0,1.021,3.814,0.0,1.304,45.146,38.157,7500.794,89.442,94.597
1958-1958,Argentina,Argentina,19031200.0,162343223296.0,1.021,3.814,0.0,1.304,45.146,38.157,7500.794,89.442,Argentina,19363792.0,170709729280.0,1.17,3.36,0.0,1.458,46.989,41.619,7595.391,94.597,93.047
1959-1959,Argentina,Argentina,19363792.0,170709729280.0,1.17,3.36,0.0,1.458,46.989,41.619,7595.391,94.597,Argentina,19695358.0,181174419456.0,1.221,3.781,0.0,1.48,48.855,37.71,7688.438,93.047,100.198
1960-1960,Argentina,Argentina,19695358.0,181174419456.0,1.221,3.781,0.0,1.48,48.855,37.71,7688.438,93.047,Argentina,20024528.0,169428729856.0,1.17,3.73,0.0,1.473,51.249,42.576,7788.636,100.198,82.468
1961-1961,Argentina,Argentina,20024528.0,169428729856.0,1.17,3.73,0.0,1.473,51.249,42.576,7788.636,100.198,Argentina,20349748.0,182678470656.0,1.305,3.906,0.0,2.363,33.703,41.191,7871.104,82.468,116.776
1962-1962,Argentina,Argentina,20349748.0,182678470656.0,1.305,3.906,0.0,2.363,33.703,41.191,7871.104,82.468,Argentina,20680658.0,195762241536.0,1.436,3.539,0.0,4.03,65.649,42.121,7987.88,116.776,122.813
1963-1963,Argentina,Argentina,20680658.0,195762241536.0,1.436,3.539,0.0,4.03,65.649,42.121,7987.88,116.776,Argentina,21020364.0,192596967424.0,1.446,2.008,0.0,5.108,69.173,45.078,8110.694,122.813,120.928
1964-1964,Argentina,Argentina,21020364.0,192596967424.0,1.446,2.008,0.0,5.108,69.173,45.078,8110.694,122.813,Argentina,21364018.0,187954610176.0,1.254,2.305,0.0,5.829,70.895,40.645,8231.622,120.928,133.435
1965-1965,Argentina,Argentina,21364018.0,187954610176.0,1.254,2.305,0.0,5.829,70.895,40.645,8231.622,120.928,Argentina,21708488.0,207332556800.0,1.439,2.557,0.0,6.467,77.764,45.207,8365.057,133.435,190.767
1966-1966,Argentina,Argentina,21708488.0,207332556800.0,1.439,2.557,0.0,6.467,77.764,45.207,8365.057,133.435,Argentina,22053662.0,226284879872.0,1.632,2.601,0.0,7.247,131.962,47.324,8555.823,190.767,193.373
1967-1967,Argentina,Argentina,22053662.0,226284879872.0,1.632,2.601,0.0,7.247,131.962,47.324,8555.823,190.767,Argentina,22403120.0,227834527744.0,1.723,2.587,2.345,7.848,130.3,48.57,8749.196,193.373,254.536
1968-1968,Argentina,Argentina,22403120.0,227834527744.0,1.723,2.587,2.345,7.848,130.3,48.57,8749.196,193.373,Argentina,22757014.0,233929080832.0,1.756,2.939,2.796,8.208,189.06,49.777,9003.732,254.536,334.71
1969-1969,Argentina,Argentina,22757014.0,233929080832.0,1.756,2.939,2.796,8.208,189.06,49.777,9003.732,254.536,Argentina,23112976.0,243886489600.0,2.064,2.367,2.876,9.142,265.701,52.56,9338.442,334.71,250.586
1970-1970,Argentina,Argentina,23112976.0,243886489600.0,2.064,2.367,2.876,9.142,265.701,52.56,9338.442,334.71,Argentina,23472030.0,264721498112.0,2.148,2.59,2.832,9.105,173.337,60.573,9589.027,250.586,200.059
1971-1971,Argentina,Argentina,23472030.0,264721498112.0,2.148,2.59,2.832,9.105,173.337,60.573,9589.027,250.586,Argentina,23842804.0,278897360896.0,2.344,3.287,2.81,10.281,117.411,63.926,9789.088,200.059,177.463
1972-1972,Argentina,Argentina,23842804.0,278897360896.0,2.344,3.287,2.81,10.281,117.411,63.926,9789.088,200.059,Argentina,24223380.0,292438867968.0,2.736,2.928,2.843,11.021,88.616,69.319,9966.551,177.463,161.936
1973-1973,Argentina,Argentina,24223380.0,292438867968.0,2.736,2.928,2.843,11.021,88.616,69.319,9966.551,177.463,Argentina,24612798.0,301570129920.0,2.699,2.858,2.744,12.469,71.869,69.297,10128.486,161.936,154.262
1974-1974,Argentina,Argentina,24612798.0,301570129920.0,2.699,2.858,2.744,12.469,71.869,69.297,10128.486,161.936,Argentina,25020592.0,319937937408.0,2.57,2.88,3.129,14.187,60.286,71.21,10282.749,154.262,148.536
1975-1975,Argentina,Argentina,25020592.0,319937937408.0,2.57,2.88,3.129,14.187,60.286,71.21,10282.749,154.262,Argentina,25449752.0,340686405632.0,2.675,3.367,3.063,14.923,53.055,71.452,10431.284,148.536,141.739
1976-1976,Argentina,Argentina,25449752.0,340686405632.0,2.675,3.367,3.063,14.923,53.055,71.452,10431.284,148.536,Argentina,25875562.0,337656020992.0,2.714,3.594,3.902,15.722,46.894,68.913,10573.023,141.739,141.13
1977-1977,Argentina,Argentina,25875562.0,337656020992.0,2.714,3.594,3.902,15.722,46.894,68.913,10573.023,141.739,Argentina,26290258.0,336841146368.0,2.841,3.239,5.284,16.467,41.43,71.868,10714.153,141.13,138.751
1978-1978,Argentina,Argentina,26290258.0,336841146368.0,2.841,3.239,5.284,16.467,41.43,71.868,10714.153,141.13,Argentina,26713780.0,357157961728.0,2.987,2.704,5.408,16.905,38.045,72.702,10852.904,138.751,136.697
1979-1979,Argentina,Argentina,26713780.0,357157961728.0,2.987,2.704,5.408,16.905,38.045,72.702,10852.904,138.751,Argentina,27146124.0,341466742784.0,3.148,3.833,6.251,16.426,34.141,72.899,10989.601,136.697,142.084
1980-1980,Argentina,Argentina,27146124.0,341466742784.0,3.148,3.833,6.251,16.426,34.141,72.899,10989.601,136.697,Argentina,27584138.0,365906427904.0,3.327,3.602,6.599,18.016,31.468,79.073,11131.685,142.084,138.505
1981-1981,Argentina,Argentina,27584138.0,365906427904.0,3.327,3.602,6.599,18.016,31.468,79.073,11131.685,142.084,Argentina,28024808.0,371076956160.0,3.562,2.865,6.156,19.566,29.848,76.508,11270.189,138.505,200.451
1982-1982,Argentina,Argentina,28024808.0,371076956160.0,3.562,2.865,6.156,19.566,29.848,76.508,11270.189,138.505,Argentina,28471284.0,349782016000.0,3.323,2.957,5.144,20.485,98.483,70.059,11470.642,200.451,164.847
1983-1983,Argentina,Argentina,28471284.0,349782016000.0,3.323,2.957,5.144,20.485,98.483,70.059,11470.642,200.451,Argentina,28922768.0,338761515008.0,2.815,2.66,5.595,23.249,61.496,69.032,11635.487,164.847,152.522
1984-1984,Argentina,Argentina,28922768.0,338761515008.0,2.815,2.66,5.595,23.249,61.496,69.032,11635.487,164.847,Argentina,29377144.0,350706597888.0,2.818,2.191,5.196,26.264,47.38,68.674,11788.01,152.522,145.395
1985-1985,Argentina,Argentina,29377144.0,350706597888.0,2.818,2.191,5.196,26.264,47.38,68.674,11788.01,152.522,Argentina,29832200.0,357844353024.0,2.618,2.147,7.149,27.301,38.943,67.237,11933.404,145.395,134.612
1986-1986,Argentina,Argentina,29832200.0,357844353024.0,2.618,2.147,7.149,27.301,38.943,67.237,11933.404,145.395,Argentina,30287120.0,334171439104.0,2.325,2.774,6.188,28.809,34.08,60.435,12068.016,134.612,129.19
1987-1987,Argentina,Argentina,30287120.0,334171439104.0,2.325,2.774,6.188,28.809,34.08,60.435,12068.016,134.612,Argentina,30748332.0,358634684416.0,2.789,3.393,4.804,30.964,25.04,62.2,12197.206,129.19,128.504
1988-1988,Argentina,Argentina,30748332.0,358634684416.0,2.789,3.393,4.804,30.964,25.04,62.2,12197.206,129.19,Argentina,31216450.0,367893610496.0,3.169,3.778,4.778,36.699,13.627,66.454,12325.71,128.504,141.812
1989-1989,Argentina,Argentina,31216450.0,367893610496.0,3.169,3.778,4.778,36.699,13.627,66.454,12325.71,128.504,Argentina,31690790.0,360921169920.0,3.047,4.023,5.87,42.233,20.407,66.232,12467.521,141.812,141.469
1990-1990,Argentina,Argentina,31690790.0,360921169920.0,3.047,4.023,5.87,42.233,20.407,66.232,12467.521,141.812,Argentina,32165770.0,338520801280.0,2.253,4.144,6.262,44.609,24.449,59.753,12608.991,141.469,139.201
1991-1991,Argentina,Argentina,32165770.0,338520801280.0,2.253,4.144,6.262,44.609,24.449,59.753,12608.991,141.469,Argentina,32637658.0,338751160320.0,1.822,3.07,4.785,43.213,27.122,59.188,12748.191,139.201,189.518
1992-1992,Argentina,Argentina,32637658.0,338751160320.0,1.822,3.07,4.785,43.213,27.122,59.188,12748.191,139.201,Argentina,33105766.0,376057921536.0,2.196,2.689,4.104,47.284,72.012,61.233,12937.71,189.518,166.665
1993-1993,Argentina,Argentina,33105766.0,376057921536.0,2.196,2.689,4.104,47.284,72.012,61.233,12937.71,189.518,Argentina,33568280.0,416679821312.0,2.495,2.803,3.997,48.303,45.434,63.633,13104.374,166.665,153.576
1994-1994,Argentina,Argentina,33568280.0,416679821312.0,2.495,2.803,3.997,48.303,45.434,63.633,13104.374,166.665,Argentina,34027240.0,444780249088.0,2.761,2.301,4.753,40.809,35.799,67.154,13257.95,153.576,154.442
1995-1995,Argentina,Argentina,34027240.0,444780249088.0,2.761,2.301,4.753,40.809,35.799,67.154,13257.95,153.576,Argentina,34488696.0,472926748672.0,3.05,3.561,1.978,42.677,35.973,67.203,13412.393,154.442,164.034
1996-1996,Argentina,Argentina,34488696.0,472926748672.0,3.05,3.561,1.978,42.677,35.973,67.203,13412.393,154.442,Argentina,34946116.0,461601013760.0,2.621,3.701,2.887,53.195,38.794,62.836,13576.427,164.034,170.991
1997-1997,Argentina,Argentina,34946116.0,461601013760.0,2.621,3.701,2.887,53.195,38.794,62.836,13576.427,164.034,Argentina,35389360.0,489406464000.0,2.422,3.1,2.151,57.542,39.856,65.921,13747.417,170.991,180.669
1998-1998,Argentina,Argentina,35389360.0,489406464000.0,2.422,3.1,2.151,57.542,39.856,65.921,13747.417,170.991,Argentina,35815968.0,531526385664.0,3.169,2.777,2.206,61.504,44.145,66.868,13928.087,180.669,190.348
1999-1999,Argentina,Argentina,35815968.0,531526385664.0,3.169,2.777,2.206,61.504,44.145,66.868,13928.087,180.669,Argentina,36233196.0,554567139328.0,3.283,2.84,1.693,61.614,51.343,69.576,14118.435,190.348,195.429
2000-2000,Argentina,Argentina,36233196.0,554567139328.0,3.283,2.84,1.693,61.614,51.343,69.576,14118.435,190.348,Argentina,36653032.0,538270597120.0,3.29,2.154,1.883,67.621,47.756,72.725,14313.863,195.429,189.894
2001-2001,Argentina,Argentina,36653032.0,538270597120.0,3.29,2.154,1.883,67.621,47.756,72.725,14313.863,195.429,Argentina,37070772.0,536480972800.0,2.771,1.656,1.466,69.438,47.129,67.434,14503.758,189.894,179.75
2002-2002,Argentina,Argentina,37070772.0,536480972800.0,2.771,1.656,1.466,69.438,47.129,67.434,14503.758,189.894,Argentina,37480492.0,514867265536.0,2.481,1.29,1.507,64.809,45.328,64.336,14683.508,179.75,226.898
2003-2003,Argentina,Argentina,37480492.0,514867265536.0,2.481,1.29,1.507,64.809,45.328,64.336,14683.508,179.75,Argentina,37885024.0,460558532608.0,1.729,1.099,1.51,62.62,102.443,57.497,14910.405,226.898,359.488
2004-2004,Argentina,Argentina,37885024.0,460558532608.0,1.729,1.099,1.51,62.62,102.443,57.497,14910.405,226.898,Argentina,38278164.0,503104143360.0,2.28,1.99,1.297,69.07,225.495,59.357,15269.895,359.488,450.881
2005-2005,Argentina,Argentina,38278164.0,503104143360.0,2.28,1.99,1.297,69.07,225.495,59.357,15269.895,359.488,Argentina,38668796.0,550306316288.0,2.701,2.198,1.091,82.911,294.169,67.812,15720.775,450.881,487.442
2006-2006,Argentina,Argentina,38668796.0,550306316288.0,2.701,2.198,1.091,82.911,294.169,67.812,15720.775,450.881,Argentina,39070504.0,601050382336.0,3.241,3.268,0.913,81.967,326.253,71.8,16208.218,487.442,505.851
2007-2007,Argentina,Argentina,39070504.0,601050382336.0,3.241,3.268,0.913,81.967,326.253,71.8,16208.218,487.442,Argentina,39476856.0,652296781824.0,3.764,3.866,0.799,83.869,331.641,81.912,16714.068,505.851,353.365
2008-2008,Argentina,Argentina,39476856.0,652296781824.0,3.764,3.866,0.799,83.869,331.641,81.912,16714.068,505.851,Argentina,39876116.0,714725195776.0,3.998,3.66,0.695,87.178,179.883,77.952,17067.434,353.365,293.438
2009-2009,Argentina,Argentina,39876116.0,714725195776.0,3.998,3.66,0.695,87.178,179.883,77.952,17067.434,353.365,Argentina,40273768.0,747157389312.0,3.99,3.877,0.599,90.12,106.195,88.658,17360.873,293.438,545.054
2010-2010,Argentina,Argentina,40273768.0,747157389312.0,3.99,3.877,0.599,90.12,106.195,88.658,17360.873,293.438,Argentina,40684344.0,705920827392.0,3.81,3.232,0.693,87.995,366.943,82.381,17905.926,545.054,468.133
2011-2011,Argentina,Argentina,40684344.0,705920827392.0,3.81,3.232,0.693,87.995,366.943,82.381,17905.926,545.054,Argentina,41100124.0,785785159680.0,4.178,3.99,0.612,86.928,282.278,90.145,18374.061,468.133,453.068
2012-2012,Argentina,Argentina,41100124.0,785785159680.0,4.178,3.99,0.612,86.928,282.278,90.145,18374.061,468.133,Argentina,41520736.0,837742690304.0,4.586,4.723,0.872,92.587,263.392,86.908,18827.127,453.068,369.778
2013-2013,Argentina,Argentina,41520736.0,837742690304.0,4.586,4.723,0.872,92.587,263.392,86.908,18827.127,453.068,Argentina,41952364.0,829147447296.0,4.184,5.009,1.131,95.381,178.486,85.587,19196.906,369.778,310.405
2014-2014,Argentina,Argentina,41952364.0,829147447296.0,4.184,5.009,1.131,95.381,178.486,85.587,19196.906,369.778,Argentina,42388268.0,849088348160.0,4.581,4.84,1.291,91.338,120.868,87.487,19507.311,310.405,286.602
2015-2015,Argentina,Argentina,42388268.0,849088348160.0,4.581,4.84,1.291,91.338,120.868,87.487,19507.311,310.405,Argentina,42824064.0,827750809600.0,4.336,5.536,1.388,92.844,98.206,84.292,19793.914,286.602,285.343
2016-2016,Argentina,Argentina,42824064.0,827750809600.0,4.336,5.536,1.388,92.844,98.206,84.292,19793.914,286.602,Argentina,43257064.0,850356666368.0,4.571,5.467,1.218,93.535,93.6,86.954,20079.256,285.343,268.806
2017-2017,Argentina,Argentina,43257064.0,850356666368.0,4.571,5.467,1.218,93.535,93.6,86.954,20079.256,285.343,Argentina,43668236.0,832669286400.0,4.029,4.192,0.841,96.303,78.886,84.556,20348.064,268.806,253.213
2018-2018,Argentina,Argentina,43668236.0,832669286400.0,4.029,4.192,0.841,96.303,78.886,84.556,20348.064,268.806,Argentina,44054616.0,856142118912.0,4.362,4.279,0.96,96.442,66.314,80.856,20601.275,253.213,234.33
2019-2019,Argentina,Argentina,44054616.0,856142118912.0,4.362,4.279,0.96,96.442,66.314,80.856,20601.275,253.213,Argentina,44413592.0,833736998912.0,4.369,4.356,1.359,96.123,53.731,74.392,20835.604,234.33,224.38
2020-2020,Argentina,Argentina,44413592.0,833736998912.0,4.369,4.356,1.359,96.123,53.731,74.392,20835.604,234.33,Argentina,44745516.0,817053892608.0,4.141,2.143,1.771,95.608,45.869,74.848,21059.986,224.38,205.745
2021-2021,Argentina,Argentina,44745516.0,817053892608.0,4.141,2.143,1.771,95.608,45.869,74.848,21059.986,224.38,Argentina,45036032.0,735814221824.0,3.508,3.957,1.987,89.083,38.866,68.345,21265.732,205.745,220.73
2022-2022,Argentina,Argentina,45036032.0,735814221824.0,3.508,3.957,1.987,89.083,38.866,68.345,21265.732,205.745,Argentina,45276788.0,812324159488.0,4.671,4.946,2.325,93.03,30.985,84.773,21486.461,220.73,218.89
1930-1930,Australia,Australia,6137556.0,54781759488.0,0.378,25.908,0.0,0.0,78.764,2.732,3386.302,107.783,Australia,6240926.0,53656043520.0,0.356,23.296,0.0,0.0,81.129,3.254,3494.337,108.035,81.718
1931-1931,Australia,Australia,6240926.0,53656043520.0,0.356,23.296,0.0,0.0,81.129,3.254,3494.337,108.035,Australia,6332771.0,48543375360.0,0.349,21.68,0.0,0.0,55.819,3.871,3576.056,81.718,65.87
1932-1932,Australia,Australia,6332771.0,48543375360.0,0.349,21.68,0.0,0.0,55.819,3.871,3576.056,81.718,Australia,6412756.0,45297381376.0,0.196,19.35,0.0,0.0,43.319,3.006,3641.926,65.87,58.464
1933-1933,Australia,Australia,6412756.0,45297381376.0,0.196,19.35,0.0,0.0,43.319,3.006,3641.926,65.87,Australia,6480541.0,47862226944.0,0.124,20.218,0.0,0.0,35.413,2.709,3700.39,58.464,53.995
1934-1934,Australia,Australia,6480541.0,47862226944.0,0.124,20.218,0.0,0.0,35.413,2.709,3700.39,58.464,Australia,6535776.0,51178057728.0,0.16,21.42,0.0,0.0,29.214,3.202,3754.385,53.995,49.891
1935-1935,Australia,Australia,6535776.0,51178057728.0,0.16,21.42,0.0,0.0,29.214,3.202,3754.385,53.995,Australia,6591481.0,53897011200.0,0.207,22.49,0.0,0.0,23.682,3.512,3804.276,49.891,48.301
