year,country,population,gdp,primary_energy_consumption,temperature_change_from_co2,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,co2_including_luc,country_order
1800,Stany Zjednoczone,6000000.0,,,,0.0,0.253,,0.0,0.0,,0.0,,,,0
1801,Stany Zjednoczone,6113782.0,,,,0.0,0.267,,0.0,0.0,,0.0,,,,0
1802,Stany Zjednoczone,6229723.0,,,,0.0,0.289,,0.0,0.0,,0.0,,,,0
1803,Stany Zjednoczone,6347862.0,,,,0.0,0.297,,0.0,0.0,,0.0,,,,0
1804,Stany Zjednoczone,6468241.0,,,,0.0,0.333,,0.0,0.0,,0.0,,,,0
1805,Stany Zjednoczone,6590903.0,,,,0.0,0.341,,0.0,0.0,,0.0,,,,0
1806,Stany Zjednoczone,6715891.0,,,,0.0,0.333,,0.0,0.0,,0.0,,,,0
1807,Stany Zjednoczone,6843249.0,,,,0.0,0.377,,0.0,0.0,,0.0,,,,0
1808,Stany Zjednoczone,6973023.0,,,,0.0,0.392,,0.0,0.0,,0.0,,,,0
1809,Stany Zjednoczone,7105258.0,,,,0.0,0.403,,0.0,0.0,,0.0,,,,0
1810,Stany Zjednoczone,7302908.0,,,,0.0,0.418,,0.0,0.0,,0.0,,,,0
1811,Stany Zjednoczone,7502686.0,,,,0.0,0.447,,0.0,0.0,,0.0,,,,0
1812,Stany Zjednoczone,7728031.0,,,,0.0,0.484,,0.0,0.0,,0.0,,,,0
1813,Stany Zjednoczone,7980135.0,,,,0.0,0.52,,0.0,0.0,,0.0,,,,0
1814,Stany Zjednoczone,8240464.0,,,,0.0,0.561,,0.0,0.0,,0.0,,,,0
1815,Stany Zjednoczone,8509285.0,,,,0.0,0.601,,0.0,0.0,,0.0,,,,0
1816,Stany Zjednoczone,8786876.0,,,,0.0,0.663,,0.0,0.0,,0.0,,,,0
1817,Stany Zjednoczone,9073523.0,,,,0.0,0.718,,0.0,0.0,,0.0,,,,0
1818,Stany Zjednoczone,9369520.0,,,,0.0,0.78,,0.0,0.0,,0.0,,,,0
1819,Stany Zjednoczone,9667277.0,,,,0.0,0.762,,0.0,0.0,,0.0,,,,0
1820,Stany Zjednoczone,9966626.0,26689673216.0,,,0.0,0.791,,0.0,0.0,,0.0,,,,0
1821,Stany Zjednoczone,10267384.0,27963713536.0,,,0.0,0.828,,0.0,0.0,,0.0,,,,0
1822,Stany Zjednoczone,10569360.0,29657565184.0,,,0.0,0.865,,0.0,0.0,,0.0,,,,0
1823,Stany Zjednoczone,10872345.0,30226765824.0,,,0.0,0.901,,0.0,0.0,,0.0,,,,0
1824,Stany Zjednoczone,11184015.0,31981950976.0,,,0.0,1.015,,0.0,0.0,,0.0,,,,0
1825,Stany Zjednoczone,11504621.0,33619607552.0,,,0.0,1.136,,0.0,0.0,,0.0,,,,0
1826,Stany Zjednoczone,11834416.0,34809626624.0,,,0.0,1.315,,0.0,0.0,,0.0,,,,0
1827,Stany Zjednoczone,12173666.0,35893989376.0,,,0.0,1.447,,0.0,0.0,,0.0,,,,0
1828,Stany Zjednoczone,12522641.0,36860850176.0,,,0.0,1.594,,0.0,0.0,,0.0,,,,0
1829,Stany Zjednoczone,12879737.0,36568666112.0,,,0.0,1.795,,0.0,0.0,,0.0,,,,0
1830,Stany Zjednoczone,13245133.0,40238456832.0,,,0.0,2.088,,0.0,0.0,,0.0,,,,0
1831,Stany Zjednoczone,13619015.0,44058066944.0,,,0.0,2.264,,0.0,0.0,,0.0,,,,0
1832,Stany Zjednoczone,14001568.0,47056560128.0,,,0.0,3.023,,0.0,0.0,,0.0,,,,0
1833,Stany Zjednoczone,14392986.0,50149629952.0,,,0.0,3.528,,0.0,0.0,,0.0,,,,0
1834,Stany Zjednoczone,14795346.0,49144819712.0,,,0.0,3.382,,0.0,0.0,,0.0,,,,0
1835,Stany Zjednoczone,15208954.0,52437618688.0,,,0.0,4.316,,0.0,0.0,,0.0,,,,0
1836,Stany Zjednoczone,15634125.0,54660300800.0,,,0.0,4.73,,0.0,0.0,,0.0,,,,0
1837,Stany Zjednoczone,16071181.0,54343589888.0,,,0.0,5.305,,0.0,0.0,,0.0,,,,0
1838,Stany Zjednoczone,16520455.0,55243120640.0,,,0.0,5.031,,0.0,0.0,,0.0,,,,0
1839,Stany Zjednoczone,16991513.0,59390148608.0,,,0.0,5.518,,0.0,0.0,,0.0,,,,0
1840,Stany Zjednoczone,17485246.0,57903947776.0,,,0.0,5.873,,0.0,0.0,,0.0,,,,0
1841,Stany Zjednoczone,18002579.0,58728370176.0,,,0.0,6.214,,0.0,0.0,,0.0,,,,0
1842,Stany Zjednoczone,18544472.0,60163727360.0,,,0.0,6.918,,0.0,0.0,,0.0,,,,0
1843,Stany Zjednoczone,19111919.0,63127601152.0,,,0.0,7.764,,0.0,0.0,,0.0,,,,0
1844,Stany Zjednoczone,19696730.0,68682588160.0,,,0.0,9.307,,0.0,0.0,,0.0,,,,0
1845,Stany Zjednoczone,20299435.0,71880056832.0,,,0.0,11.205,,0.0,0.0,,0.0,,,,0
1846,Stany Zjednoczone,20920583.0,74456424448.0,,,0.0,12.71,,0.0,0.0,,0.0,,,,0
1847,Stany Zjednoczone,21560737.0,78625611776.0,,,0.0,15.07,,0.0,0.0,,0.0,,,,0
1848,Stany Zjednoczone,22220480.0,82933096448.0,,,0.0,16.785,,0.0,0.0,,0.0,,,,0
1849,Stany Zjednoczone,22899875.0,82996215808.0,,,0.0,18.221,,0.0,0.0,,0.0,,,,0
1850,Stany Zjednoczone,23599506.0,85638316032.0,,,0.0,19.793,,0.0,0.0,797.974,0.0,,,817.767,0
1851,Stany Zjednoczone,24309683.0,92211322880.0,,0.0,0.0,24.633,,0.0,0.0,861.796,0.0,,,886.43,0
1852,Stany Zjednoczone,25040692.0,100197810176.0,,0.001,0.0,26.791,,0.0,0.0,914.353,0.0,,,941.144,0
1853,Stany Zjednoczone,25793143.0,110970552320.0,,0.001,0.0,30.162,,0.0,0.0,925.059,0.0,,,955.221,0
1854,Stany Zjednoczone,26568199.0,114357379072.0,,0.002,0.0,33.159,,0.0,0.0,962.976,0.0,,,996.135,0
1855,Stany Zjednoczone,27366540.0,115306487808.0,,0.002,0.0,38.161,,0.0,0.0,974.394,0.0,,,1012.554,0
1856,Stany Zjednoczone,28188865.0,121205907456.0,,0.002,0.0,40.037,,0.0,0.0,1004.712,0.0,,,1044.748,0
1857,Stany Zjednoczone,29035895.0,122030284800.0,,0.003,0.0,41.055,,0.0,0.0,1017.924,0.0,,,1058.979,0
1858,Stany Zjednoczone,29908371.0,126084341760.0,,0.003,0.0,41.649,,0.0,0.0,1048.829,0.0,,,1090.478,0
1859,Stany Zjednoczone,30763983.0,133003075584.0,,0.004,0.0,45.32,,0.0,0.0,1088.401,0.0,,,1133.721,0
1860,Stany Zjednoczone,31601240.0,140151914496.0,,0.004,0.0,47.236,,0.0,0.0,963.09,0.202,,,1010.528,0
1861,Stany Zjednoczone,32418583.0,140904349696.0,,0.005,0.0,44.818,,0.0,0.0,885.525,0.861,,,931.205,0
1862,Stany Zjednoczone,33214384.0,149041987584.0,,0.005,0.0,46.199,,0.0,0.0,872.666,1.249,,,920.115,0
1863,Stany Zjednoczone,33986941.0,162622111744.0,,0.005,0.0,53.744,,0.0,0.0,857.816,1.066,,,912.625,0
1864,Stany Zjednoczone,34777462.0,172058492928.0,,0.006,0.0,57.792,,0.0,0.0,825.622,0.865,,,884.279,0
1865,Stany Zjednoczone,35586364.0,167081476096.0,,0.006,0.0,57.8,,0.0,0.0,789.454,1.022,,,848.276,0
1866,Stany Zjednoczone,36414073.0,169592864768.0,,0.007,0.0,57.763,,0.0,0.0,792.146,1.469,,,851.378,0
1867,Stany Zjednoczone,37261027.0,179172491264.0,,0.007,0.0,71.499,,0.0,0.0,777.035,1.367,,,849.901,0
1868,Stany Zjednoczone,38127674.0,185632047104.0,,0.007,0.0,80.861,,0.0,0.0,764.647,1.491,,,846.999,0
1869,Stany Zjednoczone,39007998.0,194685239296.0,,0.008,0.0,91.97,,0.0,0.0,746.75,1.726,,,840.446,0
1870,Stany Zjednoczone,39902173.0,193277575168.0,,0.008,0.0,96.572,,0.0,0.0,1089.823,2.048,,,1188.443,0
1871,Stany Zjednoczone,40810375.0,202148954112.0,,0.009,0.0,101.002,,0.0,0.0,1240.851,2.019,,,1343.872,0
1872,Stany Zjednoczone,41732783.0,210342281216.0,,0.009,0.0,123.894,,0.0,0.0,1315.983,2.411,,,1442.288,0
1873,Stany Zjednoczone,42669573.0,220907880448.0,,0.01,0.0,135.656,,0.0,0.0,1398.767,3.851,,,1538.274,0
1874,Stany Zjednoczone,43627383.0,219512012800.0,,0.011,0.0,129.973,,0.0,0.0,1461.449,4.324,,,1595.745,0
1875,Stany Zjednoczone,44606685.0,230981042176.0,,0.011,0.0,132.318,,0.0,0.0,1508.573,3.43,,,1644.32,0
1876,Stany Zjednoczone,45607961.0,233741795328.0,,0.012,0.0,129.336,,0.0,0.0,1554.187,3.484,,,1687.006,0
1877,Stany Zjednoczone,46631704.0,241295474688.0,,0.013,0.0,141.998,,0.0,0.0,1600.924,5.177,,,1748.099,0
1878,Stany Zjednoczone,47678418.0,251432402944.0,,0.013,0.0,137.847,,0.0,0.0,1663.513,6.057,,,1807.417,0
1879,Stany Zjednoczone,48749140.0,282359431168.0,,0.014,0.0,167.606,,0.0,0.0,1705.504,7.863,,,1880.973,0
1880,Stany Zjednoczone,49844419.0,315651588096.0,,0.015,0.0,188.3,,0.0,0.0,1545.801,10.384,,,1744.485,0
1881,Stany Zjednoczone,50964818.0,326883213312.0,,0.015,0.0,199.278,,0.0,0.0,1453.496,10.915,,,1663.689,0
1882,Stany Zjednoczone,52110912.0,347742896128.0,,0.016,0.0,223.262,,0.0,0.165,1452.417,11.967,,,1687.811,0
1883,Stany Zjednoczone,53283291.0,356232986624.0,,0.017,0.0,244.495,,0.0,0.381,1463.214,9.006,,,1717.097,0
1884,Stany Zjednoczone,54482036.0,362653646848.0,,0.018,0.0,257.301,,0.0,1.172,1439.027,9.116,,,1706.616,0
1885,Stany Zjednoczone,55707739.0,365398818816.0,,0.018,0.0,260.313,,0.0,3.715,1432.026,8.134,,,1704.188,0
1886,Stany Zjednoczone,56961007.0,376420564992.0,,0.019,0.0,269.062,,0.0,7.676,1407.986,10.725,,,1695.45,0
1887,Stany Zjednoczone,58242459.0,393366437888.0,,0.02,0.001,284.825,,0.0,11.787,1426.522,10.768,,,1733.903,0
1888,Stany Zjednoczone,59552729.0,391556464640.0,,0.02,0.001,346.574,,0.0,16.774,1413.782,10.527,,,1787.657,0
1889,Stany Zjednoczone,60843105.0,415860031488.0,,0.021,0.001,309.777,,0.0,12.227,1391.745,13.538,,,1727.287,0
1890,Stany Zjednoczone,62112247.0,421879349248.0,,0.022,0.001,372.27,,0.0,11.688,1487.406,17.789,,,1889.153,0
1891,Stany Zjednoczone,63358765.0,440079351808.0,,0.023,0.001,397.225,,0.0,8.947,1504.403,21.251,,,1931.828,0
1892,Stany Zjednoczone,64581224.0,482816884736.0,,0.024,0.001,423.045,,0.0,7.775,1490.063,19.628,,,1940.512,0
1893,Stany Zjednoczone,65778137.0,459473420288.0,,0.024,0.001,428.105,,0.0,7.288,1542.634,18.701,,,1996.729,0
1894,Stany Zjednoczone,66997221.0,446220992512.0,,0.025,0.001,399.376,,0.0,6.698,1547.521,18.976,,,1972.571,0
1895,Stany Zjednoczone,68238885.0,500098662400.0,,0.026,0.001,452.372,,0.0,7.042,1526.831,20.533,,,2006.779,0
1896,Stany Zjednoczone,69503549.0,489991438336.0,,0.027,0.001,450.196,,0.0,6.848,1547.036,23.838,,,2027.918,0
1897,Stany Zjednoczone,70791637.0,536744984576.0,,0.028,0.001,469.465,,0.0,7.288,1554.58,23.534,,,2054.868,0
1898,Stany Zjednoczone,72103583.0,547964944384.0,,0.029,0.001,515.353,,0.0,8.46,1577.439,21.508,,,2122.76,0
1899,Stany Zjednoczone,73449404.0,597660467200.0,,0.03,0.001,592.451,,0.0,10.904,1612.222,22.178,,,2237.756,0
1900,Stany Zjednoczone,74829905.0,613998133248.0,,0.031,0.001,626.544,,0.0,11.542,1519.943,24.651,,,2182.681,0
1901,Stany Zjednoczone,76245912.0,683106041856.0,,0.032,0.002,681.541,,0.0,12.861,1492.113,27.125,,,2213.641,0
1902,Stany Zjednoczone,77698268.0,690126848000.0,,0.032,0.002,715.931,,0.0,13.692,1490.63,34.87,,,2255.126,0
1903,Stany Zjednoczone,79187838.0,723766345728.0,,0.033,0.003,840.042,,0.0,14.524,1455.803,39.839,,,2350.209,0
1904,Stany Zjednoczone,80705948.0,714621845504.0,,0.034,0.003,818.27,,0.0,15.162,1471.205,46.789,1.834,,2353.262,0
1905,Stany Zjednoczone,82253148.0,767532728320.0,,0.035,0.004,913.479,,0.0,17.166,1464.535,53.853,1.98,,2451.018,0
1906,Stany Zjednoczone,83829992.0,855994335232.0,,0.036,0.004,964.05,,0.0,19.016,1455.768,50.274,2.127,,2491.239,0
1907,Stany Zjednoczone,85437050.0,869070536704.0,,0.038,0.005,1115.249,,0.0,19.866,1449.809,66.688,2.054,,2653.67,0
1908,Stany Zjednoczone,87074899.0,799355502592.0,,0.039,0.005,959.763,,0.0,19.665,1456.948,71.547,1.834,,2509.761,0
1909,Stany Zjednoczone,88647362.0,890110017536.0,,0.04,0.006,1066.609,,0.0,23.508,1450.558,73.236,2.347,,2616.265,0
1910,Stany Zjednoczone,90151889.0,893975461888.0,,0.041,0.007,1160.396,,0.0,24.901,1363.577,83.931,2.347,,2635.159,0
1911,Stany Zjednoczone,91585865.0,917451833344.0,,0.042,0.007,1143.128,,0.0,25.087,1351.882,88.17,2.274,,2610.548,0
1912,Stany Zjednoczone,92946603.0,954787430400.0,,0.043,0.007,1224.395,,0.0,27.495,1298.837,89.321,2.347,,2642.403,0
1913,Stany Zjednoczone,94231351.0,986598473728.0,,0.044,0.008,1304.578,,0.0,28.458,1280.535,107.077,2.421,,2723.077,0
1914,Stany Zjednoczone,95533839.0,905134473216.0,,0.045,0.008,1172.136,,0.0,28.946,1283.142,114.617,2.274,,2601.122,0
1915,Stany Zjednoczone,96854312.0,925041164288.0,,0.046,0.008,1213.597,,0.0,30.741,1240.971,120.93,2.421,,2608.668,0
1916,Stany Zjednoczone,98193018.0,1046397583360.0,,0.047,0.008,1345.443,,0.0,36.834,1238.075,133.981,2.714,,2757.056,0
1917,Stany Zjednoczone,99550208.0,1014196404224.0,,0.049,0.008,1481.645,,0.0,38.882,1231.006,147.941,2.494,,2901.977,0
1918,Stany Zjednoczone,100970120.0,1099047305216.0,,0.05,0.006,1551.136,,0.0,35.259,1221.774,159.19,2.127,,2969.492,0
1919,Stany Zjednoczone,102419259.0,1102169636864.0,,0.051,0.007,1261.251,,0.0,36.482,1225.38,179.217,2.201,,2704.539,0
1920,Stany Zjednoczone,103898175.0,1085154983936.0,,0.052,0.009,1465.534,,0.0,39.71,1206.571,230.645,2.347,,2944.817,0
1921,Stany Zjednoczone,105407425.0,1054213734400.0,,0.053,0.009,1142.651,,0.0,32.961,1243.117,246.36,1.687,,2666.786,0
1922,Stany Zjednoczone,106947578.0,1105913315328.0,,0.054,0.01,1112.892,,0.0,37.948,1197.116,282.488,2.421,,2632.875,0
1923,Stany Zjednoczone,108519213.0,1244263743488.0,,0.056,0.012,1509.469,,0.0,50.127,1161.573,334.413,2.714,,3058.308,0
1924,Stany Zjednoczone,110113945.0,1274653966336.0,,0.057,0.013,1313.207,,0.0,56.829,1129.783,325.557,2.714,,2828.103,0
1925,Stany Zjednoczone,111732111.0,1296540106752.0,,0.058,14.206,1340.481,,0.0,59.174,1145.769,341.244,3.081,,2903.954,0
1926,Stany Zjednoczone,113374057.0,1372770926592.0,,0.059,14.506,1477.933,,0.0,65.336,1112.651,345.266,3.007,,3018.699,0
1927,Stany Zjednoczone,115040131.0,1378144616448.0,,0.06,15.066,1376.693,,0.0,71.939,1051.692,396.207,2.934,,2914.531,0
1928,Stany Zjednoczone,116730690.0,1385247277056.0,,0.062,15.417,1330.158,,0.0,78.054,1068.765,404.402,2.934,,2899.73,0
1929,Stany Zjednoczone,118261782.0,1461345452032.0,,0.063,14.996,1404.59,,0.0,95.462,1008.444,445.598,2.861,,2971.95,0
1930,Stany Zjednoczone,119629770.0,1322627104768.0,,0.064,14.286,1238.166,,0.0,96.784,896.312,393.407,2.274,,2641.228,0
1931,Stany Zjednoczone,120830953.0,1237725872128.0,,0.065,10.809,1021.482,,0.0,84.214,869.424,366.621,1.834,,2354.383,0
1932,Stany Zjednoczone,121861566.0,1051216904192.0,,0.066,6.656,834.233,,0.0,77.955,780.144,337.65,1.32,,2037.958,0
1933,Stany Zjednoczone,122717780.0,1015524950016.0,,0.067,5.587,889.861,,0.0,78.102,737.366,373.787,1.54,,2086.243,0
1934,Stany Zjednoczone,123580010.0,1100529926144.0,,0.068,6.9,963.92,,0.0,88.812,716.815,374.993,1.614,,2153.054,0
1935,Stany Zjednoczone,124448298.0,1237782364160.0,,0.069,6.684,982.156,,0.0,96.294,656.485,405.206,1.98,,2148.806,0
1936,Stany Zjednoczone,125322686.0,1359902408704.0,,0.07,9.95,1143.798,,0.0,108.813,642.003,448.356,2.494,,2355.415,0
1937,Stany Zjednoczone,126203219.0,1462308700160.0,,0.071,10.368,1144.951,,0.0,120.942,598.037,513.635,2.714,,2390.647,0
1938,Stany Zjednoczone,127089938.0,1373407805440.0,,0.072,9.239,906.794,,0.0,115.32,566.395,482.196,2.201,,2082.145,0
1939,Stany Zjednoczone,128160070.0,1469481091072.0,,0.073,10.792,1024.988,,0.0,124.122,533.486,508.158,2.861,,2204.406,0
1940,Stany Zjednoczone,129417367.0,1592319803392.0,,0.074,11.549,1168.882,,0.0,133.707,610.928,557.62,3.227,,2485.913,0
1941,Stany Zjednoczone,130865641.0,1815098556416.0,,0.076,14.52,1294.762,,0.0,141.533,630.25,588.735,4.034,,2673.835,0
1942,Stany Zjednoczone,132508765.0,2013171023872.0,,0.077,16.085,1458.597,,0.0,153.855,628.425,565.693,4.034,,2826.689,0
1943,Stany Zjednoczone,134350677.0,2203245608960.0,,0.078,12.041,1470.803,,0.0,171.952,641.505,612.936,4.328,,2913.564,0
1944,Stany Zjednoczone,136218191.0,2361835388928.0,,0.08,8.032,1545.85,,0.0,186.574,648.259,700.12,4.328,,3093.163,0
1945,Stany Zjednoczone,138111665.0,2314667819008.0,,0.081,9.114,1421.423,,0.0,197.676,646.866,727.377,3.961,,3006.418,0
1946,Stany Zjednoczone,140031458.0,2103900897280.0,,0.082,14.653,1298.758,,0.0,203.103,638.854,737.018,3.961,,2896.347,0
1947,Stany Zjednoczone,141977937.0,2070709141504.0,,0.084,16.647,1449.231,,0.0,224.086,651.526,791.342,4.548,,3137.38,0
1948,Stany Zjednoczone,143951473.0,2168923357184.0,,0.085,18.417,1433.19,,0.0,251.765,648.667,874.345,4.841,,3231.226,0
1949,Stany Zjednoczone,146051521.0,2126235566080.0,,0.086,18.788,1063.102,,0.0,265.068,594.756,813.723,4.181,,2759.618,0
1950,Stany Zjednoczone,154202683.0,2320610099200.0,,0.088,20.125,1257.232,,43.122,319.219,475.02,896.801,4.988,,3016.505,0
1951,Stany Zjednoczone,156481322.0,2497407877120.0,,0.089,22.041,1211.599,,42.7,376.209,426.334,960.662,5.501,,3045.046,0
1952,Stany Zjednoczone,158794225.0,2590801395712.0,,0.09,22.256,1074.173,,45.683,402.787,369.454,1000.967,5.355,,2920.673,0
1953,Stany Zjednoczone,161168319.0,2709832597504.0,,0.092,23.521,1065.955,,43.62,423.342,339.162,1050.079,6.455,,2952.133,0
1954,Stany Zjednoczone,163636304.0,2691885432832.0,,0.093,24.131,913.446,,38.952,444.0,348.944,1063.212,5.721,,2838.407,0
1955,Stany Zjednoczone,166200030.0,2882221637632.0,,0.094,26.584,1026.222,,41.645,479.19,321.69,1147.903,6.968,,3050.202,0
1956,Stany Zjednoczone,168824963.0,2938405650432.0,,0.096,28.39,1068.358,,46.529,505.889,305.819,1203.787,7.042,,3165.813,0
1957,Stany Zjednoczone,171499235.0,2993553408000.0,,0.097,27.006,1024.081,,43.558,540.645,281.9,1193.662,6.822,,3117.672,0
1958,Stany Zjednoczone,174215305.0,2963550502912.0,,0.098,27.758,888.344,,34.097,570.701,271.272,1220.046,6.161,,3018.38,0
1959,Stany Zjednoczone,177145772.0,3183156920320.0,,0.1,30.234,910.978,,30.756,593.21,202.744,1258.457,8.289,,3034.667,0
1960,Stany Zjednoczone,180274554.0,3262376312832.0,,0.101,28.798,917.964,,30.316,630.025,199.055,1281.631,8.582,,3096.37,0
1961,Stany Zjednoczone,183489491.0,3338584195072.0,,0.102,28.699,887.443,,28.198,636.415,69.092,1297.316,8.802,,2955.965,0
1962,Stany Zjednoczone,186724277.0,3539745112064.0,,0.104,29.878,920.818,,22.922,676.367,217.076,1334.748,9.169,,3210.978,0
1963,Stany Zjednoczone,189825228.0,3692868403200.0,,0.105,31.435,987.008,,20.65,718.455,124.979,1359.256,9.682,,3251.467,0
1964,Stany Zjednoczone,192819456.0,3906859958272.0,,0.106,33.026,1049.177,,18.412,759.072,75.419,1393.919,10.709,,3339.732,0
1965,Stany Zjednoczone,195653775.0,4156141338624.0,14439.7,0.108,33.295,1090.619,,17.188,782.605,48.665,1464.691,11.149,,3448.212,0
1966,Stany Zjednoczone,198265397.0,4428300025856.0,15247.363,0.109,34.573,1132.718,,20.233,842.207,18.419,1529.661,12.029,,3589.84,0
1967,Stany Zjednoczone,200699913.0,4538979319808.0,15778.539,0.111,33.594,1163.049,,26.384,881.284,487.157,1589.194,11.956,,4192.618,0
1968,Stany Zjednoczone,203011021.0,4754925682688.0,16719.385,0.113,35.32,1139.603,,27.817,936.361,798.453,1689.423,12.396,,4639.372,0
1969,Stany Zjednoczone,205300032.0,4903769997312.0,17583.422,0.115,35.697,1158.0,,28.315,1018.083,425.775,1781.627,13.423,,4460.92,0
1970,Stany Zjednoczone,207796339.0,4912635707392.0,18205.84,0.117,34.924,1168.091,,26.249,1059.211,337.724,2038.082,13.13,,4677.41,0
1971,Stany Zjednoczone,210426424.0,5065682190336.0,18589.008,0.119,35.51,1107.406,,15.261,1096.927,271.072,2097.305,13.056,,4636.537,0
1972,Stany Zjednoczone,212842574.0,5334296952832.0,19514.082,0.121,36.523,1124.841,,13.308,1115.673,248.741,2269.174,13.496,,4821.756,0
1973,Stany Zjednoczone,215006548.0,5637202771968.0,20339.793,0.123,36.917,1220.714,,13.187,1175.252,198.78,2325.281,14.083,,4984.214,0
1974,Stany Zjednoczone,217076474.0,5621366128640.0,19842.607,0.125,36.806,1199.352,,8.9,1134.594,190.06,2227.39,14.377,,4811.479,0
1975,Stany Zjednoczone,219129300.0,5605794775040.0,19319.48,0.127,30.463,1195.102,,7.112,1042.853,184.521,2190.27,12.763,,4663.083,0
1976,Stany Zjednoczone,221168756.0,5899591090176.0,20376.508,0.129,32.37,1281.249,,7.339,1063.161,207.185,2350.496,13.496,,4955.296,0
1977,Stany Zjednoczone,223259417.0,6166912434176.0,20895.646,0.132,33.979,1315.802,,7.262,1041.406,332.595,2478.228,13.276,,5222.548,0
1978,Stany Zjednoczone,225396098.0,6518624223232.0,21359.291,0.134,35.616,1314.266,,8.123,1045.577,250.424,2524.557,13.57,,5192.131,0
1979,Stany Zjednoczone,227575083.0,6740172603392.0,21584.4,0.136,35.94,1427.55,,8.867,1080.846,233.98,2441.816,13.936,,5242.936,0
1980,Stany Zjednoczone,229858654.0,6743208230912.0,20751.957,0.138,32.922,1453.891,,6.69,1058.408,264.894,2244.35,12.616,,5073.771,0
1981,Stany Zjednoczone,232201613.0,6911865389056.0,20138.094,0.14,31.962,1503.037,,5.232,1032.434,259.265,2101.535,12.543,,4946.007,0
1982,Stany Zjednoczone,234583158.0,6782206345216.0,19318.139,0.142,28.441,1449.193,,4.99,961.223,253.021,1994.366,9.389,,4700.623,0
1983,Stany Zjednoczone,236986362.0,7066236747776.0,19250.529,0.144,30.44,1504.91,,5.089,901.395,275.368,1977.975,9.902,,4705.079,0
1984,Stany Zjednoczone,239353968.0,7581108011008.0,20235.688,0.146,32.915,1616.224,,5.789,962.574,280.447,2034.424,10.562,,4942.935,0
1985,Stany Zjednoczone,241690439.0,7874872344576.0,20184.246,0.149,31.708,1655.15,,5.1,926.826,286.783,2023.738,10.416,,4939.722,0
1986,Stany Zjednoczone,243953810.0,8146027806720.0,20371.605,0.151,32.854,1635.859,,5.243,868.157,216.804,2111.99,9.609,,4880.515,0
1987,Stany Zjednoczone,246161292.0,8432566927360.0,21055.266,0.153,32.976,1709.615,,6.632,923.281,257.921,2143.02,10.489,,5083.934,0
1988,Stany Zjednoczone,248393235.0,8787202670592.0,22014.584,0.155,33.248,1792.863,,7.643,964.695,272.751,2241.04,11.369,,5323.609,0
1989,Stany Zjednoczone,250675047.0,9091291283456.0,22546.822,0.157,33.264,1813.282,,7.595,1027.299,269.548,2239.66,11.443,,5402.091,0
1990,Stany Zjednoczone,253373385.0,9250377039872.0,22609.195,0.16,33.484,1814.537,5046.305,46.339,1023.425,287.005,2178.622,24.55,-74.652,5407.962,0
1991,Stany Zjednoczone,256471425.0,9224687976448.0,22579.719,0.162,32.736,1797.157,4959.124,45.348,1042.436,233.531,2120.971,24.308,-103.833,5296.487,0
1992,Stany Zjednoczone,259606020.0,9552658432000.0,22913.109,0.164,32.993,1817.281,5146.23,45.015,1080.4,183.852,2174.379,24.159,-27.997,5358.079,0
1993,Stany Zjednoczone,262633235.0,9814940844032.0,23396.385,0.167,34.838,1879.596,5205.142,44.013,1109.23,168.151,2181.652,23.523,-67.708,5441.001,0
1994,Stany Zjednoczone,265474811.0,10211205054464.0,23824.129,0.169,36.31,1894.402,5310.252,44.409,1137.428,215.143,2227.062,24.668,-54.027,5579.422,0
1995,Stany Zjednoczone,268205794.0,10488856444928.0,24343.418,0.172,37.075,1913.401,5370.919,42.757,1186.511,100.21,2217.904,27.612,-54.341,5525.469,0
1996,Stany Zjednoczone,270860696.0,10886951469056.0,25165.373,0.174,37.309,1993.564,5539.188,41.299,1206.587,79.752,2305.301,28.923,-73.795,5692.734,0
1997,Stany Zjednoczone,273468014.0,11375561670656.0,25354.094,0.177,38.561,2038.751,5644.761,41.419,1214.128,97.154,2326.338,28.946,-43.381,5785.296,0
1998,Stany Zjednoczone,276119323.0,11881793191936.0,25513.361,0.179,39.461,2062.838,5807.561,39.022,1191.097,114.832,2370.915,29.949,74.28,5848.113,0
1999,Stany Zjednoczone,278785482.0,12438444441600.0,25965.076,0.182,40.239,2063.366,5989.483,38.8,1197.931,151.49,2433.46,30.122,185.565,5955.408,0
2000,Stany Zjednoczone,281484127.0,12947416940544.0,26546.236,0.185,41.445,2163.591,6252.543,38.915,1251.388,140.489,2487.84,26.957,242.408,6150.625,0
2001,Stany Zjednoczone,284279629.0,13073809145856.0,25918.355,0.187,41.613,2099.728,6177.029,38.696,1198.855,45.569,2502.249,26.599,269.289,5953.309,0
2002,Stany Zjednoczone,287084336.0,13307342749696.0,26297.27,0.19,43.164,2103.809,6294.676,38.893,1237.821,2.571,2495.708,26.914,348.368,5948.879,0
2003,Stany Zjednoczone,289908091.0,13680911581184.0,26383.084,0.192,43.349,2144.086,6488.34,38.567,1201.066,58.45,2557.332,25.747,478.195,6068.596,0
2004,Stany Zjednoczone,292786247.0,14198910222336.0,26899.117,0.195,45.886,2164.412,6616.287,39.12,1204.871,-6.352,2630.811,27.555,503.632,6106.302,0
2005,Stany Zjednoczone,295716665.0,14673826021376.0,26912.564,0.198,46.194,2188.337,6722.182,39.43,1186.902,45.779,2642.556,28.765,589.999,6177.962,0
